I (633219) clare_s3: Creating meeting session...
I (633219) clare_net: Create session URL ready=1
I (633219) clare_net: HTTP before init free8=5989995 largest8=5767168 free_internal=65443 largest_internal=31744
I (637982) clare_net: HTTP response status=200 bytes=82 truncated=0
I (637984) clare_net: HTTP after cleanup free8=5990879 largest8=5767168
I (637986) clare_s3: Connecting transcription...
I (637987) clare_net: WS pre-start heap free8=5956051 largest8=5767168
I (637988) websocket_client: Started
I (641049) clare_net: WebSocket connected kind=0
I (641050) clare_s3: Listening - recording only
I (641050) clare_s3: Listening - recording only
I (641055) clare_s3: Audio stream started
I (646274) clare_net: recv kind=0 type=transcript len=79
I (646300) clare_net: recv kind=0 type=transcript len=79
I (646412) clare_net: recv kind=0 type=transcript len=79
I (647112) clare_net: recv kind=0 type=transcript len=85
I (647113) clare_net: recv kind=0 type=transcript len=85
I (647115) clare_net: recv kind=0 type=transcript len=85
I (647117) clare_net: recv kind=0 type=transcript len=100
I (647119) clare_net: recv kind=0 type=transcript len=100
I (647121) clare_net: recv kind=0 type=transcript len=100
I (647370) clare_net: recv kind=0 type=transcript len=106
I (647390) clare_net: recv kind=0 type=transcript len=106
I (647418) clare_net: recv kind=0 type=transcript len=106
I (647557) clare_net: recv kind=0 type=transcript len=106
I (647827) clare_net: recv kind=0 type=transcript len=112
I (647848) clare_net: recv kind=0 type=transcript len=112
I (647879) clare_net: recv kind=0 type=transcript len=112
I (648151) clare_net: recv kind=0 type=transcript len=112
I (648177) clare_net: recv kind=0 type=transcript len=112
I (648792) clare_net: recv kind=0 type=transcript len=112
I (648793) clare_net: recv kind=0 type=transcript len=112
I (648795) clare_net: recv kind=0 type=transcript len=112
I (648797) clare_net: recv kind=0 type=transcript len=112
I (648799) clare_net: recv kind=0 type=transcript len=115
I (648801) clare_net: recv kind=0 type=transcript len=115
I (648802) clare_net: recv kind=0 type=transcript len=115
I (649985) clare_net: recv kind=0 type=transcript len=120
I (649989) clare_net: recv kind=0 type=transcript len=120
I (649991) clare_net: recv kind=0 type=transcript len=120
I (649992) clare_net: recv kind=0 type=transcript len=120
I (649994) clare_net: recv kind=0 type=transcript len=120
I (649996) clare_net: recv kind=0 type=transcript len=120
I (649998) clare_net: recv kind=0 type=transcript len=120
I (650169) clare_net: recv kind=0 type=transcript len=126
I (650171) clare_net: recv kind=0 type=transcript len=126
I (650172) clare_net: recv kind=0 type=transcript len=126
I (650174) clare_net: recv kind=0 type=transcript len=135
I (650176) clare_net: recv kind=0 type=transcript len=135
I (650178) clare_net: recv kind=0 type=transcript len=135
I (650212) clare_net: recv kind=0 type=transcript len=135
I (650255) clare_net: recv kind=0 type=transcript len=135
I (650277) clare_net: recv kind=0 type=transcript len=135
I (650455) clare_net: recv kind=0 type=transcript len=135
I (651105) clare_net: recv kind=0 type=transcript len=135
I (651107) clare_net: recv kind=0 type=transcript len=135
I (651109) clare_net: recv kind=0 type=transcript len=137
I (652161) clare_net: recv kind=0 type=transcript len=82
I (652196) clare_net: recv kind=0 type=transcript len=82
I (652231) clare_net: recv kind=0 type=transcript len=82
I (652443) clare_net: recv kind=0 type=transcript len=82
I (652477) clare_net: recv kind=0 type=transcript len=82
I (652649) clare_net: recv kind=0 type=transcript len=82
I (652905) clare_net: recv kind=0 type=transcript len=91
I (653133) clare_net: recv kind=0 type=transcript len=91
I (653160) clare_net: recv kind=0 type=transcript len=91
I (653413) clare_net: recv kind=0 type=transcript len=97
I (653440) clare_net: recv kind=0 type=transcript len=97
I (653946) clare_net: recv kind=0 type=transcript len=97
I (653948) clare_net: recv kind=0 type=transcript len=100
I (653950) clare_net: recv kind=0 type=transcript len=100
I (653952) clare_net: recv kind=0 type=transcript len=100
I (653954) clare_net: recv kind=0 type=transcript len=100
I (654017) clare_net: recv kind=0 type=transcript len=106
I (654158) clare_net: recv kind=0 type=transcript len=106
I (654160) clare_net: recv kind=0 type=transcript len=106
I (654344) clare_net: recv kind=0 type=transcript len=109
I (654371) clare_net: recv kind=0 type=transcript len=109
I (654399) clare_net: recv kind=0 type=transcript len=109
I (654534) clare_net: recv kind=0 type=transcript len=115
I (654569) clare_net: recv kind=0 type=transcript len=115
I (654592) clare_net: recv kind=0 type=transcript len=115
I (654812) clare_net: recv kind=0 type=transcript len=115
I (654833) clare_net: recv kind=0 type=transcript len=115
I (654864) clare_net: recv kind=0 type=transcript len=115
I (655508) clare_net: recv kind=0 type=transcript len=121
I (655509) clare_net: recv kind=0 type=transcript len=121
I (655511) clare_net: recv kind=0 type=transcript len=121
I (655513) clare_net: recv kind=0 type=transcript len=121
I (655762) clare_net: recv kind=0 type=transcript len=121
I (655764) clare_net: recv kind=0 type=transcript len=121
I (655765) clare_net: recv kind=0 type=transcript len=121
I (655769) clare_net: recv kind=0 type=transcript len=121
I (655796) clare_net: recv kind=0 type=transcript len=121
I (655829) clare_net: recv kind=0 type=transcript len=121
I (656133) clare_net: recv kind=0 type=transcript len=127
I (656164) clare_net: recv kind=0 type=transcript len=127
I (656190) clare_net: recv kind=0 type=transcript len=127
I (656839) clare_net: recv kind=0 type=transcript len=130
I (656841) clare_net: recv kind=0 type=transcript len=130
I (656843) clare_net: recv kind=0 type=transcript len=130
I (656844) clare_net: recv kind=0 type=transcript len=133
I (656846) clare_net: recv kind=0 type=transcript len=133
I (656848) clare_net: recv kind=0 type=transcript len=133
I (656850) clare_net: recv kind=0 type=transcript len=133
I (657053) clare_net: recv kind=0 type=transcript len=133
I (657059) clare_net: recv kind=0 type=transcript len=135
I (658432) clare_net: recv kind=0 type=transcript len=85
I (658470) clare_net: recv kind=0 type=transcript len=85
I (658598) clare_net: recv kind=0 type=transcript len=85
I (659038) clare_net: recv kind=0 type=transcript len=94
I (659060) clare_net: recv kind=0 type=transcript len=94
I (659093) clare_net: recv kind=0 type=transcript len=94
I (659123) clare_net: recv kind=0 type=transcript len=94
I (659370) clare_net: recv kind=0 type=transcript len=103
I (659399) clare_net: recv kind=0 type=transcript len=103
I (659423) clare_net: recv kind=0 type=transcript len=103
I (660124) clare_net: recv kind=0 type=transcript len=109
I (660126) clare_net: recv kind=0 type=transcript len=109
I (660128) clare_net: recv kind=0 type=transcript len=109
I (660130) clare_net: recv kind=0 type=transcript len=109
I (660131) clare_net: recv kind=0 type=transcript len=109
I (660133) clare_net: recv kind=0 type=transcript len=109
I (660135) clare_net: recv kind=0 type=transcript len=109
I (660137) clare_net: recv kind=0 type=transcript len=109
I (660353) clare_net: recv kind=0 type=transcript len=109
I (660355) clare_net: recv kind=0 type=transcript len=109
I (660357) clare_net: recv kind=0 type=transcript len=109
I (660359) clare_net: recv kind=0 type=transcript len=109
I (660361) clare_net: recv kind=0 type=transcript len=109
I (660468) clare_net: recv kind=0 type=transcript len=118
I (660492) clare_net: recv kind=0 type=transcript len=118
I (660525) clare_net: recv kind=0 type=transcript len=118
I (660712) clare_net: recv kind=0 type=transcript len=124
I (661369) clare_net: recv kind=0 type=transcript len=124
I (661371) clare_net: recv kind=0 type=transcript len=124
I (661373) clare_net: recv kind=0 type=transcript len=130
I (661374) clare_net: recv kind=0 type=transcript len=130
I (661376) clare_net: recv kind=0 type=transcript len=130
I (661381) clare_net: recv kind=0 type=transcript len=139
I (661554) clare_net: recv kind=0 type=transcript len=139
I (661564) clare_net: recv kind=0 type=transcript len=139
I (661772) clare_net: recv kind=0 type=transcript len=139
I (661804) clare_net: recv kind=0 type=transcript len=139
