I (241056) clare_net: WebSocket connected kind=0
I (241057) clare_s3: Listening - recording only
I (241057) clare_s3: Listening - recording only
I (241076) clare_s3: Audio stream started
I (246886) clare_net: recv kind=0 type=transcript len=85
I (246888) clare_net: recv kind=0 type=transcript len=85
I (246959) clare_net: recv kind=0 type=transcript len=85
I (247598) clare_net: recv kind=0 type=transcript len=85
I (247600) clare_net: recv kind=0 type=transcript len=85
I (247602) clare_net: recv kind=0 type=transcript len=85
I (247607) clare_net: recv kind=0 type=transcript len=85
I (247608) clare_net: recv kind=0 type=transcript len=85
I (247763) clare_net: recv kind=0 type=transcript len=85
I (247772) clare_net: recv kind=0 type=transcript len=85
I (247858) clare_net: recv kind=0 type=transcript len=85
I (247889) clare_net: recv kind=0 type=transcript len=85
I (247980) clare_net: recv kind=0 type=transcript len=85
I (248138) clare_net: recv kind=0 type=transcript len=91
I (248166) clare_net: recv kind=0 type=transcript len=91
I (248266) clare_net: recv kind=0 type=transcript len=91
I (248490) clare_net: recv kind=0 type=transcript len=103
I (248510) clare_net: recv kind=0 type=transcript len=103
I (248845) clare_net: recv kind=0 type=transcript len=103
I (248874) clare_net: recv kind=0 type=transcript len=103
I (249488) clare_net: recv kind=0 type=transcript len=109
I (249490) clare_net: recv kind=0 type=transcript len=109
I (249492) clare_net: recv kind=0 type=transcript len=109
I (249494) clare_net: recv kind=0 type=transcript len=115
I (249496) clare_net: recv kind=0 type=transcript len=115
I (249551) clare_net: recv kind=0 type=transcript len=115
I (249553) clare_net: recv kind=0 type=transcript len=115
I (249555) clare_net: recv kind=0 type=transcript len=115
I (249557) clare_net: recv kind=0 type=transcript len=115
I (249744) clare_net: recv kind=0 type=transcript len=115
I (249989) clare_net: recv kind=0 type=transcript len=115
I (250132) clare_net: recv kind=0 type=transcript len=115
I (250288) clare_net: recv kind=0 type=transcript len=124
I (250291) clare_net: recv kind=0 type=transcript len=124
I (250318) clare_net: recv kind=0 type=transcript len=124
I (250345) clare_net: recv kind=0 type=transcript len=124
I (250470) clare_net: recv kind=0 type=transcript len=124
I (250499) clare_net: recv kind=0 type=transcript len=124
I (250554) clare_net: recv kind=0 type=transcript len=124
I (250775) clare_net: recv kind=0 type=transcript len=133
I (250803) clare_net: recv kind=0 type=transcript len=133
I (251148) clare_net: recv kind=0 type=transcript len=133
I (251275) clare_net: recv kind=0 type=transcript len=133
I (251313) clare_net: recv kind=0 type=transcript len=133
I (251340) clare_net: recv kind=0 type=transcript len=133
I (251476) clare_net: recv kind=0 type=transcript len=136
I (251496) clare_net: recv kind=0 type=transcript len=136
I (251523) clare_net: recv kind=0 type=transcript len=136
I (251648) clare_net: recv kind=0 type=transcript len=139
I (251677) clare_net: recv kind=0 type=transcript len=139
I (251761) clare_net: recv kind=0 type=transcript len=139
I (251867) clare_net: recv kind=0 type=transcript len=139
I (252096) clare_net: recv kind=0 type=transcript len=151
I (252133) clare_net: recv kind=0 type=transcript len=151
I (252163) clare_net: recv kind=0 type=transcript len=151
I (252386) clare_net: recv kind=0 type=transcript len=151
I (252475) clare_net: recv kind=0 type=transcript len=151
I (252888) clare_net: recv kind=0 type=transcript len=151
I (253065) clare_net: recv kind=0 type=transcript len=151
I (253095) clare_net: recv kind=0 type=transcript len=151
I (253121) clare_net: recv kind=0 type=transcript len=151
I (253258) clare_net: recv kind=0 type=transcript len=151
I (253332) clare_net: recv kind=0 type=transcript len=153
I (254474) clare_net: recv kind=0 type=transcript len=82
I (254507) clare_net: recv kind=0 type=transcript len=82
I (254529) clare_net: recv kind=0 type=transcript len=82
I (254954) clare_net: recv kind=0 type=transcript len=83
I (254977) clare_net: recv kind=0 type=transcript len=83
I (255614) clare_net: recv kind=0 type=transcript len=83
I (255617) clare_net: recv kind=0 type=transcript len=90
I (255619) clare_net: recv kind=0 type=transcript len=90
I (255620) clare_net: recv kind=0 type=transcript len=90
I (255622) clare_net: recv kind=0 type=transcript len=96
I (255624) clare_net: recv kind=0 type=transcript len=96
I (255774) clare_net: recv kind=0 type=transcript len=96
I (255786) clare_net: recv kind=0 type=transcript len=96
I (256488) clare_net: recv kind=0 type=transcript len=96
I (256515) clare_net: recv kind=0 type=transcript len=96
I (256540) clare_net: recv kind=0 type=transcript len=96
I (256663) clare_net: recv kind=0 type=transcript len=99
I (256680) clare_net: recv kind=0 type=transcript len=99
I (256711) clare_net: recv kind=0 type=transcript len=99
I (256842) clare_net: recv kind=0 type=transcript len=105
I (256861) clare_net: recv kind=0 type=transcript len=105
I (256891) clare_net: recv kind=0 type=transcript len=105
I (257020) clare_net: recv kind=0 type=transcript len=105
I (257048) clare_net: recv kind=0 type=transcript len=105
I (257073) clare_net: recv kind=0 type=transcript len=105
I (257211) clare_net: recv kind=0 type=transcript len=105
I (257240) clare_net: recv kind=0 type=transcript len=105
